startcong,district,statename,pop_density
68,1,Minnesota,147501.93188527905
68,2,Minnesota,104678.92485545909
68,3,Minnesota,172007.48422413733
68,4,Minnesota,5116042.343251233
68,5,Minnesota,21170584.77500649
69,6,Minnesota,53268.10985456252
69,7,Minnesota,91576.15507543058
69,8,Minnesota,48796.72626807339
69,9,Minnesota,55078.299485784715
69,10,Minnesota,168975.263532794
69,1,Minnesota,152616.8746669405
69,2,Minnesota,108308.88891245832
69,3,Minnesota,177972.20908284816
69,4,Minnesota,5293451.977957847
69,5,Minnesota,21904719.768320967
70,6,Minnesota,54742.50366089537
70,7,Minnesota,94110.86704887272
70,8,Minnesota,50147.35784061086
70,9,Minnesota,56602.79704815187
70,10,Minnesota,173652.28478728238
70,1,Minnesota,156841.11643870932
70,2,Minnesota,111306.74176324128
70,3,Minnesota,182898.2543937773
70,4,Minnesota,5439968.023519259
70,5,Minnesota,22511014.66491195
71,6,Minnesota,55998.91160815094
71,7,Minnesota,96270.82747040859
71,8,Minnesota,51298.30152625415
71,9,Minnesota,57901.90102207175
71,10,Minnesota,177637.81880701488
71,1,Minnesota,160440.81341951794
71,2,Minnesota,113861.36870907382
71,3,Minnesota,187095.99481469384
71,4,Minnesota,5564821.996218504
71,5,Minnesota,23027670.203741197
88,1,Maine,310077.9602884667
88,2,Maine,52357.201287275995
89,1,Maine,319834.5940841865
89,2,Maine,54004.6258222333
90,1,Maine,327092.23158060707
90,2,Maine,55230.09049865426
91,1,Maine,333618.68369517644
91,2,Maine,56332.09325543319
92,1,Maine,341822.2105832856
92,2,Maine,57717.272995865984
93,1,Maine,348814.8618343608
93,2,Maine,58897.99428525937
94,1,Maine,355505.1316187506
94,2,Maine,60027.657939656485
95,1,Maine,362527.60127085465
95,2,Maine,61213.41411777037
96,1,Maine,370455.1347014914
96,2,Maine,62551.99188432083
97,1,Maine,377714.6388314624
97,2,Maine,63777.77174505362
93,1,South Carolina,346920.20731478825
93,2,South Carolina,438734.6033509892
93,6,South Carolina,284375.18037146283
93,3,South Carolina,320186.5817848642
93,4,South Carolina,1181352.9591578313
93,5,South Carolina,298620.3160386536
94,1,South Carolina,353574.13762150356
94,2,South Carolina,447149.533966988
94,6,South Carolina,289829.4969297207
94,3,South Carolina,326327.7610976296
94,4,South Carolina,1204011.3114017393
94,5,South Carolina,304347.8543290004
95,1,South Carolina,360558.46338892635
95,2,South Carolina,455982.3010720298
95,6,South Carolina,295554.64311032847
95,3,South Carolina,332773.87564037205
95,4,South Carolina,1227794.745572181
95,5,South Carolina,310359.7888430722
96,1,South Carolina,368442.93690816936
96,2,South Carolina,465953.44512521446
96,6,South Carolina,302017.652562915
96,3,South Carolina,340050.77266761556
96,4,South Carolina,1254643.4154592815
96,5,South Carolina,317146.54823174723
97,1,South Carolina,375663.0096554368
97,2,South Carolina,475084.35098237416
97,6,South Carolina,307936.0437275329
97,3,South Carolina,346714.4675589539
97,4,South Carolina,1279229.6290192767
97,5,South Carolina,323361.40790307993
103,9,Texas,1091948.4229676898
103,16,Texas,4990316.6418362735
103,8,Texas,790181.3398013925
103,10,Texas,3023501.844371853
103,11,Texas,213280.64620383107
103,1,Texas,201237.57380301115
103,2,Texas,166055.14722463078
103,3,Texas,7268791.445044595
103,4,Texas,337810.09248477477
103,5,Texas,359873.4779802064
103,6,Texas,2668668.7794137797
103,12,Texas,1378380.7707527422
103,13,Texas,73750.40329101429
103,14,Texas,156039.69826148322
103,15,Texas,294613.3147105632
103,7,Texas,4672814.620083346
103,17,Texas,84730.94213360941
103,18,Texas,9871752.269923313
103,19,Texas,116151.17885734461
103,20,Texas,8505210.247012105
103,21,Texas,140618.42446232156
103,22,Texas,1494218.9132269225
103,23,Texas,42020.3209251307
103,24,Texas,1119438.517993559
103,25,Texas,8200940.9693301935
103,26,Texas,3200544.082761848
103,27,Texas,596617.0176028464
103,28,Texas,204389.1186102277
103,29,Texas,12652935.434812121
103,30,Texas,10140178.849461392
104,9,Texas,1118666.708464578
104,16,Texas,5112421.955559868
104,8,Texas,809515.8524826311
104,10,Texas,3097482.2483718367
104,11,Texas,218499.2930523218
104,1,Texas,206161.54533543676
104,2,Texas,170118.25930799954
104,3,Texas,7446647.505789862
104,4,Texas,346075.78187531244
104,5,Texas,368679.0242177302
104,6,Texas,2733966.9682707447
104,12,Texas,1412107.6118578392
104,13,Texas,75554.96135364201
104,14,Texas,159857.74783168893
104,15,Texas,301822.04589974164
104,7,Texas,4787151.15143169
104,17,Texas,86804.17696295545
104,18,Texas,10113298.747718966
104,19,Texas,118993.21818103021
104,20,Texas,8713319.559513444
104,21,Texas,144059.1393641261
104,22,Texas,1530780.1341405846
104,23,Texas,43048.49305078587
104,24,Texas,1146829.4435087747
104,25,Texas,8401605.284194242
104,26,Texas,3278856.4359371015
104,27,Texas,611215.3113256318
104,28,Texas,209390.20355950008
104,29,Texas,12962533.154091034
104,30,Texas,10388293.30962343
98,1,Montana,31003.59587199466
98,2,Montana,19372.115682564676
93,1,Washington,15780180.343858905
93,2,Washington,215434.12492364584
93,3,Washington,109123.67279681936
93,4,Washington,70870.64505719396
93,5,Washington,70593.9426359638
93,6,Washington,1979732.5401308355
93,7,Washington,8543207.53346342
94,1,Washington,16082844.23607825
94,2,Washington,219566.1518932637
94,3,Washington,111216.66507081507
94,4,Washington,72229.94417860442
94,5,Washington,71947.93460435249
94,6,Washington,2017703.8144187413
94,7,Washington,8707066.271942409
95,1,Washington,16400536.656024797
95,2,Washington,223903.35127848462
95,3,Washington,113413.58316229735
95,4,Washington,73656.73818480568
95,5,Washington,73369.15793519451
95,6,Washington,2057560.5212380555
95,7,Washington,8879061.281902343
96,1,Washington,16759173.631982611
96,2,Washington,228799.53379333165
96,3,Washington,115893.64252565512
96,4,Washington,75267.41900553426
96,5,Washington,74973.5501256649
96,6,Washington,2102554.0052113943
96,7,Washington,9073223.201982915
97,1,Washington,17087589.35307746
97,2,Washington,233283.1297943603
97,3,Washington,118164.71477636184
97,4,Washington,76742.37261783396
97,5,Washington,76442.7450315863
97,6,Washington,2143756.0241727955
97,7,Washington,9251023.683436679
90,1,Kansas,38525.75577136826
90,2,Kansas,151339.12818781214
90,3,Kansas,614722.7746328774
90,4,Kansas,296332.6778747106
90,5,Kansas,94303.50633456178
91,1,Kansas,39294.457916950916
91,2,Kansas,154358.78893733694
91,3,Kansas,626988.3021050211
91,4,Kansas,302245.3864180647
91,5,Kansas,96185.13866607388
92,1,Kansas,40260.690198983146
92,2,Kansas,158154.3991275036
92,3,Kansas,642405.6502519492
92,4,Kansas,309677.4586474276
92,5,Kansas,98550.28609290262
69,1,Florida,69267.42137224168
69,2,Florida,95126.52001064522
69,3,Florida,100290.04191929265
69,4,Florida,62538.165428463326
70,1,Florida,71184.65585513807
70,2,Florida,97759.50158826506
70,3,Florida,103065.94324273714
70,4,Florida,64269.142630749906
71,1,Florida,72818.43146564119
71,2,Florida,100003.20267062858
71,3,Florida,105431.43370301487
71,4,Florida,65744.19868709645
72,1,Florida,74177.50792012824
72,2,Florida,101869.65317481277
72,3,Florida,107399.19620798163
72,4,Florida,66971.24231679768
64,1,Florida,60127.96578830356
64,2,Florida,82575.09847266518
64,3,Florida,87057.32204212416
64,4,Florida,54286.59818499921
65,1,Florida,61755.761253819466
65,2,Florida,84810.5868863524
65,3,Florida,89414.15404537304
65,4,Florida,55756.25506105164
66,1,Florida,62500.88731922462
66,2,Florida,85833.88540341862
66,3,Florida,90492.99779116588
66,4,Florida,56428.99292569578
67,1,Florida,64907.297662073994
67,2,Florida,89138.6632787593
67,3,Florida,93977.16089956908
67,4,Florida,58601.623076039265
68,1,Florida,66945.92908821056
68,2,Florida,91938.36203050791
68,3,Florida,96928.8289006989
68,4,Florida,60442.20363829596
93,1,Louisiana,753586.6439863088
93,2,Louisiana,6289308.855225088
93,3,Louisiana,444170.1899554038
93,4,Louisiana,287964.4614995048
93,5,Louisiana,148040.52517771503
93,6,Louisiana,570412.18051675
93,7,Louisiana,252106.13892316102
93,8,Louisiana,288754.5145110916
94,1,Louisiana,768040.4374045933
94,2,Louisiana,6409937.812310031
94,3,Louisiana,452689.37513391953
94,4,Louisiana,293487.6204773555
94,5,Louisiana,150879.94276231315
94,6,Louisiana,581352.6873400265
94,7,Louisiana,256941.53519850012
94,8,Louisiana,294292.82670736796
95,1,Louisiana,783211.9220993533
95,2,Louisiana,6536556.501480163
95,3,Louisiana,461631.5734764096
95,4,Louisiana,299285.02739152836
95,5,Louisiana,153860.3493019741
95,6,Louisiana,592836.4360708118
95,7,Louisiana,262017.02911635314
95,8,Louisiana,300106.13926061895
96,1,Louisiana,800338.7247867907
96,2,Louisiana,6679493.949567087
96,3,Louisiana,471726.25238787127
96,4,Louisiana,305829.610622207
96,5,Louisiana,157224.87398496384
96,6,Louisiana,605800.223240053
96,7,Louisiana,267746.6583926744
96,8,Louisiana,306668.67806701007
97,1,Louisiana,816022.3035355294
97,2,Louisiana,6810386.490581728
97,3,Louisiana,480970.2831938822
97,4,Louisiana,311822.7015889939
97,5,Louisiana,160305.88033394513
97,6,Louisiana,617671.5912158061
97,7,Louisiana,272993.4691136374
97,8,Louisiana,312678.211547371
90,10,Virginia,11762607.632578183
90,1,Virginia,976244.1118593573
90,2,Virginia,23188779.177673277
90,3,Virginia,2327854.399144251
90,4,Virginia,265559.4287367523
90,5,Virginia,263520.3153108399
90,6,Virginia,414167.86389673466
90,7,Virginia,225649.44276567845
90,8,Virginia,261014.71174915318
90,9,Virginia,302189.9119461354
91,10,Virginia,11997306.252858842
91,1,Virginia,995723.0533719449
91,2,Virginia,23651463.52871117
91,3,Virginia,2374301.9414545326
91,4,Virginia,270858.12044473836
91,5,Virginia,268778.3207082215
91,6,Virginia,422431.73099640134
91,7,Virginia,230151.8128640846
91,8,Virginia,266222.72298560827
91,9,Virginia,308219.48953742214
92,10,Virginia,12292314.384118458
92,1,Virginia,1020207.4160310527
92,2,Virginia,24233041.918901667
92,3,Virginia,2432684.91210077
92,4,Virginia,277518.3945316696
92,5,Virginia,275387.45349553664
92,6,Virginia,432819.12904388533
92,7,Virginia,235811.1379482357
92,8,Virginia,272769.01482408796
92,9,Virginia,315798.4621592605
64,2,Colorado,28147.009655019785
64,3,Colorado,26416.921298401332
64,4,Colorado,20895.236732193287
64,1,Colorado,14468393.64024757
65,2,Colorado,28909.010731949387
65,3,Colorado,27132.085101777386
65,4,Colorado,21460.91646470408
65,1,Colorado,14860084.682046887
66,2,Colorado,29257.817984651185
66,3,Colorado,27459.45251507884
66,4,Colorado,21719.857297440467
66,1,Colorado,15039381.903972656
67,2,Colorado,30384.303044741086
